c_billable,b_billable,gend_female,num_kids,age,r_white
-1,3,0,0,67,1
-2.5,4,0,0,61,0
0,1,1,3,32,0
0,2,1,0,49,1
3,3,0,0,69,1
-1.5,3.5,1,0,55,1
-3,7,1,2,37,1
-4,8,1,1,34,1
-2,4,0,2,52,0
0,6,0,0,58,1
-5,6,0,2,37,1
0,2,1,0,53,0
0,2,0,0,71,0
2,6,1,0,32,1
1,3,0,1,30,0
1,5,0,1,35,1
-3,5,0,0,54,1
-2,6,0,3,37,1
0,4,0,3,57,1
-1,5,1,1,45,1
0,10,0,0,39,0
2,4,1,0,39,0
-2,3,0,NA,67,0
0,4,1,0,29,1
0,2,0,0,68,1
-3,10,1,0,38,0
2,6,0,1,57,1
1,4,0,0,34,1
0,8,0,0,33,1
-2,7,0,1,NA,1
-0.5,0.5,0,0,58,1
3,6,0,0,37,0
-6,8,0,0,30,0
-2,2,1,0,50,1
-2,4,1,0,34,1
2,9,1,0,33,0
-2,2,0,0,64,0
0,3,0,0,63,1
-1,8,1,0,39,1
-3,6,1,0,34,1
3,5,0,2,37,1
-2,4,1,0,34,1
-3,7,0,0,39,0
-2,10,0,1,59,1
0,1,1,0,51,1
-1,8,1,0,37,0
-1,3,1,2,60,1
2,4,0,0,44,1
-4,7,0,1,53,1
-2,5,1,2,29,0
-6,14,0,0,73,1
-3,5,0,0,30,1
-6,8,1,2,37,1
1,3,1,0,34,1
-1,3,0,0,60,1
-4,5,1,2,66,1
-1,3,0,0,76,1
-2,4,1,1,48,1
-2.5,4,0,2,33,1
-2,4,0,0,68,1
-1,4,0,0,78,0
0,8,0,0,31,0
0,10,0,0,38,1
2,9,0,0,48,1
5,4,1,0,54,1
-1,4,0,0,45,1
4,4,1,0,62,1
1,4,0,0,30,1
0,4,0,2,48,1
3,1,0,0,55,0
0,12,0,0,60,0
-1,3,1,2,37,1
-2,4,0,3,64,1
-6,7,1,3,29,1
1,6,0,0,75,1
-0.5,4.5,0,1,53,1
-0.5,7,1,1,45,1
-4,4,1,0,29,0
-3.5,4,1,2,39,1
-0.10000000149011612,2.2,0,0,66,1
2,8,0,2,52,0
-2,8,1,1,41,1
-3,4,1,1,43,1
-3,6,0,2,41,0
0,8,0,0,91,1
-2,5,0,2,39,1
5,8,1,1,50,1
-2,2,1,0,70,1
1,5,1,0,27,1
